Instance,OF,time
classe_1_140_112,5.0,0.331
classe_1_300_300,3.0,1.291
classe_1_40_32,3.0,0.027
classe_1_48_60,6.0,0.035
classe_2_144_180,1.0,0.528
classe_2_180_180,1.0,0.73
classe_2_280_224,1.0,1.873
classe_4_240_192,31.0,0.759
classe_4_240_240,7.0,1.074
classe_4_240_300,40.0,0.9
classe_5_192_240,5.0,1.117
classe_5_200_200,6.0,1.093
classe_5_80_64,5.0,0.17
classe_6_32_40,7.0,0.036
classe_6_40_32,2.0,0.057
classe_6_80_80,1.0,0.196
classe_7_224_280,39.0,1.142
classe_7_280_280,27.0,2.376
classe_7_300_300,12.0,2.155
classe_8_240_240,10.0,1.586
classe_8_300_240,8.0,2.553
classe_8_64_80,78.0,0.111
classe_9_180_144,73.0,1.077
classe_9_192_240,108.0,1.807
classe_9_200_200,81.0,1.485
classe_9_224_280,3.0,1.724
classe_9_240_192,96.0,1.982
