Instance,OF,time
classe_1_140_112,1.0,0.099
classe_1_300_300,1.0,0.457
classe_1_40_32,2.0,0.01
classe_1_48_60,3.0,0.011
classe_2_144_180,1.0,0.207
classe_2_180_180,1.0,0.329
classe_2_280_224,1.0,0.672
classe_4_240_192,10.0,0.147
classe_4_240_240,2.0,0.359
classe_4_240_300,15.0,0.152
classe_5_192_240,2.0,0.385
classe_5_200_200,2.0,0.372
classe_5_80_64,3.0,0.062
classe_6_32_40,7.0,0.014
classe_6_40_32,2.0,0.021
classe_6_80_80,1.0,0.082
classe_7_224_280,12.0,0.248
classe_7_280_280,5.0,0.407
classe_7_300_300,3.0,0.572
classe_8_240_240,3.0,0.576
classe_8_300_240,2.0,0.893
classe_8_64_80,73.0,0.037
classe_9_180_144,60.0,0.345
classe_9_192_240,86.0,0.425
classe_9_200_200,70.0,0.511
classe_9_224_280,2.0,0.676
classe_9_240_192,68.0,0.614
