Instance,OF,time
classe_1_140_112,5.0,0.164
classe_1_300_300,3.0,1.255
classe_1_40_32,3.0,0.028
classe_1_48_60,6.0,0.036
classe_2_144_180,1.0,0.491
classe_2_180_180,1.0,0.743
classe_2_280_224,1.0,1.886
classe_4_240_192,32.0,1.023
classe_4_240_240,12.0,1.039
classe_4_240_300,40.0,0.988
classe_5_192_240,5.0,1.087
classe_5_200_200,6.0,1.054
classe_5_80_64,5.0,0.169
classe_6_32_40,7.0,0.041
classe_6_40_32,2.0,0.053
classe_6_80_80,1.0,0.192
classe_7_224_280,41.0,1.652
classe_7_280_280,28.0,1.95
classe_7_300_300,20.0,1.881
classe_8_240_240,10.0,1.559
classe_8_300_240,9.0,2.536
classe_8_64_80,78.0,0.179
classe_9_180_144,74.0,1.42
classe_9_192_240,108.0,2.19
classe_9_200_200,81.0,2.06
classe_9_224_280,3.0,1.687
classe_9_240_192,96.0,2.816
