Instance,OF,time
classe_1_140_112,5.0,0.119
classe_1_300_300,3.0,0.518
classe_1_40_32,3.0,0.011
classe_1_48_60,6.0,0.013
classe_2_144_180,1.0,0.228
classe_2_180_180,1.0,0.375
classe_2_280_224,1.0,0.783
classe_4_240_192,30.0,0.164
classe_4_240_240,11.0,0.431
classe_4_240_300,40.0,0.164
classe_5_192_240,5.0,0.469
classe_5_200_200,6.0,0.457
classe_5_80_64,5.0,0.072
classe_6_32_40,7.0,0.016
classe_6_40_32,2.0,0.025
classe_6_80_80,1.0,0.095
classe_7_224_280,38.0,0.284
classe_7_280_280,28.0,0.488
classe_7_300_300,20.0,0.646
classe_8_240_240,11.0,0.562
classe_8_300_240,10.0,0.937
classe_8_64_80,78.0,0.041
classe_9_180_144,73.0,0.412
classe_9_192_240,108.0,0.466
classe_9_200_200,81.0,0.514
classe_9_224_280,3.0,0.717
classe_9_240_192,94.0,0.666
