Instance,OF,time
classe_1_140_112,6.0,0.32
classe_1_300_300,3.0,0.974
classe_1_40_32,3.0,0.036
classe_1_48_60,6.0,0.046
classe_2_144_180,1.0,0.347
classe_2_180_180,1.0,0.434
classe_2_280_224,1.0,1.336
classe_4_240_192,31.0,0.485
classe_4_240_240,11.0,0.862
classe_4_240_300,41.0,0.577
classe_5_192_240,5.0,0.811
classe_5_200_200,6.0,0.811
classe_5_80_64,5.0,0.131
classe_6_32_40,7.0,0.032
classe_6_40_32,2.0,0.042
classe_6_80_80,1.0,0.125
classe_7_224_280,40.0,0.739
classe_7_280_280,31.0,1.383
classe_7_300_300,21.0,1.648
classe_8_240_240,11.0,1.251
classe_8_300_240,10.0,1.922
classe_8_64_80,78.0,0.103
classe_9_180_144,73.0,0.709
classe_9_192_240,108.0,1.345
classe_9_200_200,81.0,1.167
classe_9_224_280,3.0,1.179
classe_9_240_192,95.0,1.265
