Instance,OF_1000,time_1000
classe_1_140_112,5.0,0.228
classe_1_300_300,3.0,0.86
classe_1_40_32,3.0,0.017
classe_1_48_60,6.0,0.021
classe_2_144_180,1.0,0.338
classe_2_180_180,1.0,0.417
classe_2_280_224,1.0,1.098
classe_4_240_192,33.0,0.351
classe_4_240_240,12.0,0.668
classe_4_240_300,41.0,0.367
classe_5_192_240,5.0,0.657
classe_5_200_200,6.0,0.646
classe_5_80_64,6.0,0.101
classe_6_32_40,7.0,0.022
classe_6_40_32,2.0,0.033
classe_6_80_80,1.0,0.109
classe_7_224_280,40.0,0.531
classe_7_280_280,29.0,0.925
classe_7_300_300,22.0,1.213
classe_8_240_240,12.0,0.954
classe_8_300_240,9.0,1.54
classe_8_64_80,78.0,0.071
classe_9_180_144,73.0,0.593
classe_9_192_240,108.0,0.938
classe_9_200_200,81.0,0.85
classe_9_224_280,3.0,1.004
classe_9_240_192,95.0,1.028
