Instance,OF_100,time_100,OF_200,time_200,OF_300,time_300,OF_400,time_400,OF_500,time_500,OF_600,time_600,OF_700,time_700,OF_800,time_800,OF_900,time_900,OF_1000,time_1000,OF_1100,time_1100,OF_1200,time_1200,OF_1300,time_1300,OF_1400,time_1400,OF_1500,time_1500,OF_1600,time_1600,OF_1700,time_1700,OF_1800,time_1800,OF_1900,time_1900,OF_2000,time_2000,OF_1000,time_1000
classe_1_140_112,5.0,0.045,5.0,0.076,5.0,0.115,5.0,0.145,5.0,0.172,5.0,0.202,5.0,0.245,5.0,0.271,5.0,0.293,5.0,0.312,5.0,0.331,5.0,0.359,5.0,0.377,5.0,0.389,5.0,0.4,5.0,0.413,5.0,0.425,5.0,0.438,5.0,0.451,5.0,0.463,5.0,0.463
classe_1_300_300,3.0,0.096,3.0,0.192,3.0,0.283,3.0,0.373,3.0,0.463,3.0,0.549,3.0,0.635,3.0,0.718,3.0,0.797,3.0,0.875,3.0,0.955,3.0,1.031,3.0,1.108,3.0,1.184,3.0,1.261,3.0,1.338,3.0,1.419,3.0,1.506,3.0,1.592,3.0,1.69,3.0,1.69
classe_1_40_32,3.0,0.002,3.0,0.004,3.0,0.006,3.0,0.008,3.0,0.011,3.0,0.013,3.0,0.015,3.0,0.017,3.0,0.019,3.0,0.021,3.0,0.023,3.0,0.025,3.0,0.027,3.0,0.029,3.0,0.031,3.0,0.033,3.0,0.035,3.0,0.038,3.0,0.04,3.0,0.042,3.0,0.042
classe_1_48_60,5.0,0.003,6.0,0.006,6.0,0.008,6.0,0.011,6.0,0.014,6.0,0.015,6.0,0.018,6.0,0.02,6.0,0.023,6.0,0.026,6.0,0.029,6.0,0.032,6.0,0.034,6.0,0.037,6.0,0.04,6.0,0.042,6.0,0.045,6.0,0.047,6.0,0.05,6.0,0.052,6.0,0.052
classe_2_144_180,1.0,0.054,1.0,0.102,1.0,0.148,1.0,0.195,1.0,0.24,1.0,0.287,1.0,0.32,1.0,0.351,1.0,0.382,1.0,0.412,1.0,0.442,1.0,0.472,1.0,0.513,1.0,0.544,1.0,0.574,1.0,0.605,1.0,0.635,1.0,0.665,1.0,0.695,1.0,0.726,1.0,0.726
classe_2_180_180,1.0,0.043,1.0,0.091,1.0,0.138,1.0,0.185,1.0,0.234,1.0,0.284,1.0,0.333,1.0,0.378,1.0,0.426,1.0,0.475,1.0,0.522,1.0,0.569,1.0,0.613,1.0,0.658,1.0,0.702,1.0,0.745,1.0,0.79,1.0,0.832,1.0,0.876,1.0,0.92,1.0,0.92
classe_2_280_224,1.0,0.117,1.0,0.237,1.0,0.36,1.0,0.474,1.0,0.587,1.0,0.7,1.0,0.813,1.0,0.925,1.0,1.038,1.0,1.15,1.0,1.263,1.0,1.376,1.0,1.487,1.0,1.6,1.0,1.715,1.0,1.828,1.0,1.942,1.0,2.055,1.0,2.172,1.0,2.294,1.0,2.294
classe_4_240_192,33.0,0.037,33.0,0.07,33.0,0.104,33.0,0.138,33.0,0.173,33.0,0.207,33.0,0.242,33.0,0.278,33.0,0.313,33.0,0.349,33.0,0.383,33.0,0.417,33.0,0.451,33.0,0.484,33.0,0.518,33.0,0.552,33.0,0.586,33.0,0.621,33.0,0.656,33.0,0.689,33.0,0.689
classe_4_240_240,11.0,0.067,11.0,0.135,11.0,0.201,11.0,0.269,12.0,0.337,12.0,0.405,12.0,0.472,12.0,0.543,12.0,0.609,12.0,0.677,12.0,0.743,12.0,0.809,12.0,0.875,12.0,0.939,12.0,1.007,12.0,1.072,12.0,1.141,12.0,1.209,12.0,1.276,12.0,1.344,12.0,1.344
classe_4_240_300,39.0,0.037,39.0,0.073,39.0,0.11,40.0,0.147,40.0,0.184,40.0,0.221,40.0,0.258,40.0,0.296,40.0,0.333,41.0,0.369,41.0,0.405,41.0,0.441,41.0,0.476,41.0,0.513,41.0,0.55,41.0,0.587,41.0,0.623,41.0,0.659,41.0,0.694,41.0,0.731,41.0,0.731
classe_5_192_240,5.0,0.066,5.0,0.132,5.0,0.198,5.0,0.264,5.0,0.33,5.0,0.396,5.0,0.462,5.0,0.528,5.0,0.595,5.0,0.661,5.0,0.728,5.0,0.796,5.0,0.861,5.0,0.928,5.0,0.993,5.0,1.061,5.0,1.129,5.0,1.197,5.0,1.264,5.0,1.331,5.0,1.331
classe_5_200_200,6.0,0.064,6.0,0.129,6.0,0.193,6.0,0.259,6.0,0.323,6.0,0.387,6.0,0.452,6.0,0.516,6.0,0.582,6.0,0.647,6.0,0.713,6.0,0.779,6.0,0.845,6.0,0.912,6.0,0.979,6.0,1.044,6.0,1.11,6.0,1.174,6.0,1.238,6.0,1.303,6.0,1.303
classe_5_80_64,5.0,0.01,6.0,0.02,6.0,0.03,6.0,0.041,6.0,0.051,6.0,0.061,6.0,0.071,6.0,0.082,6.0,0.092,6.0,0.102,6.0,0.113,6.0,0.123,6.0,0.133,6.0,0.143,6.0,0.154,6.0,0.164,6.0,0.174,6.0,0.185,6.0,0.196,6.0,0.207,6.0,0.207
classe_6_32_40,7.0,0.002,7.0,0.004,7.0,0.007,7.0,0.009,7.0,0.011,7.0,0.014,7.0,0.016,7.0,0.019,7.0,0.021,7.0,0.023,7.0,0.026,7.0,0.028,7.0,0.03,7.0,0.033,7.0,0.035,7.0,0.038,7.0,0.04,7.0,0.042,7.0,0.045,7.0,0.047,7.0,0.047
classe_6_40_32,2.0,0.004,2.0,0.007,2.0,0.01,2.0,0.014,2.0,0.017,2.0,0.02,2.0,0.024,2.0,0.027,2.0,0.03,2.0,0.034,2.0,0.037,2.0,0.04,2.0,0.044,2.0,0.047,2.0,0.05,2.0,0.054,2.0,0.057,2.0,0.06,2.0,0.064,2.0,0.067,2.0,0.067
classe_6_80_80,1.0,0.011,1.0,0.023,1.0,0.034,1.0,0.044,1.0,0.056,1.0,0.067,1.0,0.079,1.0,0.091,1.0,0.103,1.0,0.115,1.0,0.127,1.0,0.139,1.0,0.151,1.0,0.163,1.0,0.175,1.0,0.186,1.0,0.198,1.0,0.209,1.0,0.221,1.0,0.232,1.0,0.232
classe_7_224_280,38.0,0.054,40.0,0.111,40.0,0.163,40.0,0.215,40.0,0.269,40.0,0.322,40.0,0.375,40.0,0.429,40.0,0.481,40.0,0.536,40.0,0.589,40.0,0.643,40.0,0.699,40.0,0.751,40.0,0.803,40.0,0.853,40.0,0.906,40.0,0.958,40.0,1.011,40.0,1.065,40.0,1.065
classe_7_280_280,29.0,0.097,29.0,0.196,29.0,0.294,29.0,0.384,29.0,0.477,29.0,0.568,29.0,0.661,29.0,0.752,29.0,0.846,29.0,0.936,29.0,1.03,29.0,1.125,29.0,1.218,30.0,1.31,30.0,1.404,30.0,1.499,30.0,1.592,30.0,1.689,30.0,1.781,30.0,1.872,30.0,1.872
classe_7_300_300,21.0,0.121,21.0,0.247,21.0,0.372,21.0,0.497,21.0,0.621,21.0,0.743,21.0,0.868,21.0,0.99,22.0,1.117,22.0,1.242,22.0,1.361,22.0,1.485,22.0,1.607,22.0,1.73,22.0,1.854,22.0,1.978,22.0,2.1,23.0,2.226,23.0,2.35,23.0,2.473,23.0,2.473
classe_8_240_240,10.0,0.094,11.0,0.191,11.0,0.287,11.0,0.382,11.0,0.48,11.0,0.58,12.0,0.682,12.0,0.784,12.0,0.888,12.0,0.989,12.0,1.087,12.0,1.184,12.0,1.282,12.0,1.377,12.0,1.475,12.0,1.571,12.0,1.669,12.0,1.765,12.0,1.861,12.0,1.961,12.0,1.961
classe_8_300_240,9.0,0.158,9.0,0.316,9.0,0.476,9.0,0.634,9.0,0.79,9.0,0.946,9.0,1.101,9.0,1.259,9.0,1.415,9.0,1.572,9.0,1.73,9.0,1.888,9.0,2.047,9.0,2.204,9.0,2.363,9.0,2.519,9.0,2.681,9.0,2.838,9.0,2.994,9.0,3.152,9.0,3.152
classe_8_64_80,78.0,0.007,78.0,0.015,78.0,0.022,78.0,0.03,78.0,0.037,78.0,0.045,78.0,0.052,78.0,0.06,78.0,0.067,78.0,0.075,78.0,0.082,78.0,0.09,78.0,0.097,78.0,0.104,78.0,0.112,78.0,0.117,78.0,0.126,78.0,0.134,78.0,0.141,78.0,0.149,78.0,0.149
classe_9_180_144,73.0,0.059,73.0,0.12,73.0,0.179,73.0,0.238,73.0,0.298,73.0,0.357,73.0,0.415,73.0,0.475,73.0,0.534,73.0,0.594,73.0,0.654,73.0,0.717,73.0,0.775,73.0,0.834,73.0,0.893,73.0,0.95,73.0,1.009,73.0,1.067,73.0,1.126,73.0,1.186,73.0,1.186
classe_9_192_240,108.0,0.097,108.0,0.193,108.0,0.291,108.0,0.389,108.0,0.481,108.0,0.576,108.0,0.673,108.0,0.764,108.0,0.858,108.0,0.952,108.0,1.045,108.0,1.136,108.0,1.231,108.0,1.33,108.0,1.425,108.0,1.518,108.0,1.613,108.0,1.707,108.0,1.802,108.0,1.896,108.0,1.896
classe_9_200_200,81.0,0.086,81.0,0.175,81.0,0.264,81.0,0.351,81.0,0.44,81.0,0.526,81.0,0.609,81.0,0.694,81.0,0.781,81.0,0.866,81.0,0.952,81.0,1.039,81.0,1.125,81.0,1.208,81.0,1.293,81.0,1.378,81.0,1.462,81.0,1.546,81.0,1.63,81.0,1.716,81.0,1.716
classe_9_224_280,2.0,0.1,2.0,0.2,2.0,0.301,2.0,0.404,2.0,0.508,2.0,0.611,2.0,0.712,2.0,0.813,2.0,0.916,3.0,1.017,3.0,1.118,3.0,1.22,3.0,1.322,3.0,1.422,3.0,1.524,3.0,1.625,3.0,1.728,3.0,1.829,3.0,1.931,3.0,2.033,3.0,2.033
classe_9_240_192,94.0,0.106,94.0,0.21,94.0,0.317,94.0,0.425,94.0,0.53,94.0,0.635,94.0,0.741,94.0,0.845,94.0,0.953,95.0,1.056,95.0,1.161,95.0,1.265,95.0,1.369,95.0,1.472,95.0,1.575,95.0,1.683,95.0,1.787,95.0,1.89,95.0,1.994,95.0,2.097,95.0,2.097
