Instance,OF_1000,time_1000
classe_1_140_112,5.0,0.375
classe_1_300_300,3.0,4.465
classe_1_40_32,3.0,0.03
classe_1_48_60,6.0,0.041
classe_2_144_180,1.0,1.631
classe_2_180_180,1.0,7.657
classe_2_280_224,1.0,7.253
classe_4_240_192,33.0,0.425
classe_4_240_240,12.0,1.42
classe_4_240_300,41.0,0.488
classe_5_192_240,5.0,2.694
classe_5_200_200,6.0,1.969
classe_5_80_64,6.0,0.207
classe_6_32_40,7.0,0.034
classe_6_40_32,2.0,0.054
classe_6_80_80,1.0,0.377
classe_7_224_280,40.0,0.766
classe_7_280_280,29.0,1.291
classe_7_300_300,22.0,2.131
classe_8_240_240,12.0,2.448
classe_8_300_240,9.0,4.11
classe_8_64_80,78.0,0.105
classe_9_180_144,73.0,1.105
classe_9_192_240,108.0,1.426
classe_9_200_200,81.0,1.204
classe_9_224_280,3.0,5.513
classe_9_240_192,95.0,2.008
