Instance,OF,time
classe_1_140_112,5.0,0.1
classe_1_300_300,3.0,0.344
classe_1_40_32,3.0,0.008
classe_1_48_60,6.0,0.009
classe_2_144_180,1.0,0.165
classe_2_180_180,1.0,0.277
classe_2_280_224,1.0,0.553
classe_4_240_192,31.0,0.111
classe_4_240_240,11.0,0.289
classe_4_240_300,39.0,0.119
classe_5_192_240,5.0,0.294
classe_5_200_200,6.0,0.286
classe_5_80_64,5.0,0.048
classe_6_32_40,7.0,0.01
classe_6_40_32,2.0,0.015
classe_6_80_80,1.0,0.061
classe_7_224_280,41.0,0.177
classe_7_280_280,29.0,0.306
classe_7_300_300,21.0,0.507
classe_8_240_240,11.0,0.435
classe_8_300_240,9.0,0.681
classe_8_64_80,78.0,0.028
classe_9_180_144,73.0,0.274
classe_9_192_240,108.0,0.325
classe_9_200_200,81.0,0.362
classe_9_224_280,2.0,0.491
classe_9_240_192,94.0,0.479
