Instance,OF,time
classe_1_140_112,5.0,0.155
classe_1_300_300,3.0,1.161
classe_1_40_32,3.0,0.026
classe_1_48_60,6.0,0.033
classe_2_144_180,1.0,0.412
classe_2_180_180,1.0,0.635
classe_2_280_224,1.0,1.666
classe_4_240_192,32.0,0.537
classe_4_240_240,12.0,1.002
classe_4_240_300,40.0,0.603
classe_5_192_240,5.0,0.997
classe_5_200_200,6.0,0.984
classe_5_80_64,5.0,0.155
classe_6_32_40,7.0,0.036
classe_6_40_32,2.0,0.048
classe_6_80_80,1.0,0.162
classe_7_224_280,40.0,0.864
classe_7_280_280,30.0,1.506
classe_7_300_300,21.0,1.933
classe_8_240_240,11.0,1.493
classe_8_300_240,10.0,2.369
classe_8_64_80,78.0,0.121
classe_9_180_144,73.0,0.949
classe_9_192_240,108.0,1.537
classe_9_200_200,81.0,1.4
classe_9_224_280,3.0,1.512
classe_9_240_192,95.0,1.672
