Instance,OF,time
classe_1_140_112,5.0,0.121
classe_1_300_300,3.0,0.514
classe_1_40_32,3.0,0.009
classe_1_48_60,6.0,0.011
classe_2_144_180,1.0,0.253
classe_2_180_180,1.0,0.458
classe_2_280_224,1.0,0.823
classe_4_240_192,31.0,0.207
classe_4_240_240,12.0,0.431
classe_4_240_300,39.0,0.177
classe_5_192_240,5.0,0.465
classe_5_200_200,6.0,0.477
classe_5_80_64,5.0,0.079
classe_6_32_40,7.0,0.018
classe_6_40_32,2.0,0.025
classe_6_80_80,1.0,0.096
classe_7_224_280,40.0,0.284
classe_7_280_280,29.0,0.504
classe_7_300_300,20.0,0.693
classe_8_240_240,12.0,0.644
classe_8_300_240,9.0,1.188
classe_8_64_80,78.0,0.048
classe_9_180_144,73.0,0.459
classe_9_192_240,108.0,0.529
classe_9_200_200,81.0,0.582
classe_9_224_280,2.0,0.778
classe_9_240_192,94.0,0.78
